1,2-dichloroethane degradation	3.8.1.3 3.8.1.5 1.1.2.7 1.2.1.4
trehalose degradation III	5.4.2.6 2.4.1.216
trehalose degradation IV	2.7.1.1 2.7.1.2 5.4.2.6 2.4.1.64
trehalose degradation V	2.4.1.231 2.7.1.1 2.7.1.2 5.4.2.2
alkane oxidation	1.2.1.3 1.2.1.- 1.1.3.- 1.14.13.- 1.14.14.- 1.1.3.20
(-)-glycinol biosynthesis	1.14.14.90 1.14.14.93 4.2.1.139 1.1.1.348 1.3.1.51
glyceollin biosynthesis	1.14.14.135 2.5.1.36 1.14.14.135 2.5.1.36 1.14.14.135
<i>cis</i>-zeatin biosynthesis	2.5.1.75
glucosinolate biosynthesis from phenylalanine	4.4.1.13 2.8.2.24 2.4.1.195 3.4.13.a 4.4.1.M2 3.4.19.16
cuticular wax biosynthesis	1.2.1.- 2.3.1.75 1.2.1.- 1.1.99.- 4.1.99.5
benzoate degradation II (aerobic and anaerobic)	6.2.1.25
cytokinins degradation	1.5.99.- 1.5.99.- 1.5.99.- 1.5.99.- 1.5.99.-
biochanin A conjugates interconversion	2.3.1.115 2.4.1.170
cytokinins 7-<i>N</i>-glucoside biosynthesis	2.4.1.- 2.4.1.- 2.4.1.- 2.4.1.- 2.4.1.- 2.4.1.- 2.4.1.-
cytokinins 9-<i>N</i>-glucoside biosynthesis	2.4.1.- 2.4.1.- 2.4.1.- 2.4.1.- 2.4.1.- 2.4.1.-
cytokinin-<i>O</i>-glucosides biosynthesis	2.4.1.215 2.4.1.- 2.4.1.203 2.4.1.-
formononetin conjugates interconversion	2.3.1.115 2.4.1.170
capsidiol biosynthesis	4.2.3.61
L-lysine biosynthesis II	1.2.1.11 4.1.1.20 5.1.1.7 3.5.1.47 2.3.1.89 1.17.1.8 4.3.3.7 2.7.2.4
L-lysine biosynthesis III	2.7.2.4 4.1.1.20 1.4.1.16 3.5.99.- 1.17.1.8 4.3.3.7 1.2.1.11
sesquiterpenoid phytoalexins biosynthesis	1.14.99.- 1.14.99.- 4.2.3.21
diterpene phytoalexins precursors biosynthesis	4.2.3.30 5.5.1.13 4.2.3.33 4.2.3.35 4.2.3.29 4.2.3.28 5.5.1.14 4.2.3.34 1.14.14.111
superpathway of linalool biosynthesis	2.5.1.1 4.2.3.26 4.2.3.25
putrescine degradation IV	1.4.3.10 2.6.1.82 1.2.1.19
superpathway of L-isoleucine biosynthesis I	1.1.1.3 2.6.1.42 4.2.1.9 1.1.1.86 2.2.1.6 3.5.99.10 4.2.3.1 2.7.1.39 2.6.1.1 2.7.2.4 1.2.1.11
cyclohexane-1-carboxylate degradation (anaerobic)	1.3.8.11 6.2.1.-
linamarin biosynthesis	2.4.1.63
monoterpene biosynthesis	4.2.3.108 4.2.3.116 4.2.3.- 4.2.3.119 4.2.3.15 4.2.3.106 4.2.3.16 4.2.3.113 4.2.3.120 4.2.3.-
phaseollin biosynthesis	
menthol biosynthesis	1.3.1.81 1.14.14.143 1.1.1.223 1.14.14.99 1.1.1.208 4.2.3.16 1.1.1.207 5.3.3.- 1.3.1.81 1.3.1.82
L-lysine biosynthesis V	2.3.3.14 6.3.2.43 3.5.1.ai 2.6.1.ah 1.2.1.ag 2.7.2.a 2.6.1.39 4.2.1.36 1.1.1.87 1.1.1.286
superpathway of isoflavonoids (via naringenin)	1.14.14.87 1.14.14.88 2.1.1.- 2.5.1.- 1.3.1.51 2.5.1.- 2.5.1.- 2.5.1.- 1.14.14.90 2.1.1.46 2.1.1.150 4.2.1.105 1.14.20.5 1.14.14.87 1.14.19.bi 2.5.1.- 2.5.1.-
flavonol biosynthesis	1.14.20.6 1.14.14.82 1.14.20.6 1.14.20.6 1.14.14.82 1.14.14.81
linamarin degradation	3.2.1.21 4.1.2.46
indole-3-acetate biosynthesis III (bacteria)	3.5.1.4 1.13.12.3
L-tryptophan degradation V (side chain pathway)	1.1.1.- 1.2.1.5 1.1.99.- 1.13.99.- 1.2.1.- 1.13.99.- 1.1.1.1 1.2.1.- 1.1.1.- 1.13.99.- 1.13.99.-
L-tryptophan degradation VI (via tryptamine)	1.2.3.7 1.4.3.4 4.1.1.105
canavanine degradation	3.5.3.1 1.6.6.-
cutin biosynthesis	6.2.1.3 1.14.13.- 3.3.2.- 1.11.2.3 1.2.1.- 1.14.14.80 3.3.2.- 1.14.14.80 1.11.2.3 1.1.1.- 1.2.1.- 1.1.1.- 1.14.14.80 3.1.2.2 1.14.14.80 3.1.2.2
UDP-&beta;-L-rhamnose biosynthesis	4.2.1.76 1.1.1.- 5.1.3.-
superpathway of ammonia assimilation (plants)	6.3.1.2 1.4.7.1 1.4.1.14
sinapate ester biosynthesis	2.3.1.91 2.3.1.103 2.3.1.92 2.4.1.120 3.1.1.49
L-proline biosynthesis III	2.6.1.13 1.5.1.2 2.7.2.11 1.2.1.41
choline biosynthesis I	2.7.1.82 3.1.3.75 2.1.1.103 2.1.1.103 2.1.1.103 4.1.1.-
L-tyrosine biosynthesis II	5.4.99.5 1.3.1.78 2.6.1.79
L-phenylalanine biosynthesis II	5.4.99.5 4.2.1.91 2.6.1.79
superpathway of L-phenylalanine and L-tyrosine biosynthesis	5.4.99.5 4.2.1.91 1.3.1.78 2.6.1.79
superpathway of NAD biosynthesis in eukaryotes	1.14.13.9 6.3.4.21 3.5.1.19 2.3.1.cc 6.3.5.1 2.7.7.18 2.4.2.19 1.13.11.6 3.7.1.3 1.13.11.11 1.13.11.52 2.7.1.22 2.7.7.1 3.5.1.9
choline biosynthesis II	2.1.1.- 2.1.1.- 2.1.1.-
choline biosynthesis III	2.7.7.15 3.1.4.4 2.7.8.2
(<i>S</i>)-reticuline biosynthesis I	2.1.1.140 1.14.14.102 2.1.1.116 2.1.1.128 4.1.1.28 4.1.1.80 4.2.1.78 4.1.1.25 2.6.1.27 2.6.1.5 2.6.1.57
L-carnitine degradation II	1.1.1.108
phenylpropanoid biosynthesis	2.1.1.104 1.1.1.195 1.1.1.194 1.1.1.195 2.1.1.68 1.14.14.- 1.2.1.44 1.14.14.96 2.3.1.- 2.3.1.133 2.3.1.- 1.14.14.96 2.3.1.133 6.2.1.12 1.1.1.195 1.2.1.44
&gamma;-butyrobetaine degradation	1.1.1.108 1.14.11.1
L-carnitine degradation III	1.14.13.239 1.1.1.38 1.2.1.4
glycine betaine degradation II (mammalian)	2.1.2.1 1.5.8.4 1.5.8.- 2.1.1.5
glycine betaine degradation I	2.1.2.1 2.1.1.5 3.5.99.10 1.5.8.4 1.5.3.1
choline degradation II	
glycine betaine biosynthesis II (Gram-positive bacteria)	1.2.1.8 1.1.1.-
aerobic respiration I (cytochrome c)	7.1.1.8 1.9.3.1 7.1.1.2 1.3.5.1
sucrose degradation II (sucrose synthase)	5.4.2.2 2.4.1.13 5.3.1.9 2.7.7.64 2.7.7.9 2.7.1.4
nitrate reduction II (assimilatory)	6.3.1.2 1.7.7.1 1.7.1.1
D-galactose detoxification	2.7.1.6 5.1.3.2 2.7.7.64 2.7.7.10
folate transformations II	2.1.2.1 3.5.4.9 6.3.3.2 1.5.1.5 6.3.4.3 2.1.1.13 1.5.1.20 1.4.1.M2 1.5.1.3 2.1.1.45
mannitol degradation II	2.7.1.7 5.3.1.8 1.1.1.255
mannitol biosynthesis	5.3.1.8 3.1.3.22 1.1.1.224
berberine biosynthesis	1.21.3.3 1.3.3.8 1.14.19.68 2.1.1.117
&beta;-alanine biosynthesis II	6.2.1.17 2.6.1.18 1.1.1.59 3.1.2.4 4.2.1.116 1.3.8.1
phosphopantothenate biosynthesis II	2.7.1.33 1.1.1.358 1.1.1.168 1.1.1.214 4.3.3.-
&beta;-alanine biosynthesis I	1.4.3.22 1.2.1.-
uracil degradation I (reductive)	3.5.2.2 3.5.1.6 1.3.1.2
sphingomyelin metabolism	3.5.1.109 2.7.8.27 3.1.4.12
sphingosine and sphingosine-1-phosphate metabolism	6.2.1.3 1.3.1.8 1.2.1.3 1.3.1.27 4.3.2.- 2.7.1.91 3.5.1.23
ceramide <i>de novo</i> biosynthesis	2.3.1.50 1.14.19.17 2.3.1.- 1.1.1.102
L-ascorbate biosynthesis IV	1.1.1.19 3.1.1.17 3.2.1.-
ubiquinol-6 biosynthesis from 4-hydroxybenzoate (eukaryotic)	1.14.15.M7 2.1.1.64 1.14.99.60 2.1.1.201 1.14.13.- 4.1.1.- 2.1.1.114 2.5.1.39
(R,R)-butanediol degradation	1.1.1.4
stearate biosynthesis III (fungi)	3.1.2.2 2.3.1.86 4.2.1.59 2.3.1.- 2.3.1.86 2.3.1.86 1.3.1.10 2.3.1.179 2.3.1.41 2.3.1.86 2.3.1.86 1.1.1.100
NAD salvage pathway IV (from nicotinamide riboside)	2.7.7.1 2.7.1.22
NAD salvage pathway V (PNC V cycle)	6.3.5.1 2.7.7.18 6.3.4.21 3.5.1.19 2.3.1.cc
L-tyrosine degradation III	4.1.1.80 1.1.1.1 2.6.1.58 2.6.1.27 2.6.1.5 2.6.1.57
pyruvate fermentation to acetoin III	4.1.1.1
phosphatidylcholine biosynthesis I	2.7.7.15 2.7.8.2 2.7.1.32
dehydro-D-arabinono-1,4-lactone biosynthesis	1.1.1.116 1.1.3.37 1.1.1.117
putrescine degradation V	2.6.1.113 1.2.1.19
L-asparagine degradation II	2.6.1.14 3.5.1.-
galactolipid biosynthesis I	2.4.1.241 2.4.1.184 2.4.1.184 2.4.1.184 2.4.1.46
&beta;-alanine betaine biosynthesis	2.1.1.49 2.1.1.- 2.1.1.-
&gamma;-glutamyl cycle	4.3.2.9 3.4.13.18 2.3.2.2 6.3.2.3 6.3.2.2 3.5.2.9
glutathione-mediated detoxification I	3.4.19.13 3.5.99.10 2.3.1.80 3.4.13.a 7.6.2.3 2.5.1.18
glutathione-peroxide redox reactions	1.8.1.7 1.11.1.9 1.11.1.12
putrescine biosynthesis I	3.5.3.11 4.1.1.19
D-sorbitol degradation I	2.7.1.4 1.1.1.14
glutathionylspermidine biosynthesis	6.3.1.9 6.3.1.8
superpathway of benzoxazinoid glucosides biosynthesis	4.1.2.8 2.1.1.241 1.14.11.59 2.4.1.202 1.14.14.110 1.14.14.109 1.14.14.157 1.14.14.153
glutathione amide metabolism	1.8.1.16 1.11.1.17 1.8.99.-
volatile cinnamoic ester biosynthesis	2.1.1.279 2.1.1.146 2.1.1.146 2.1.1.146
arsenate detoxification I (glutaredoxin)	1.20.4.1 2.1.1.137 1.20.4.2 2.1.1.137 2.4.2.1
volatile benzenoid biosynthesis I (ester formation)	2.1.1.274 2.3.1.196 2.3.1.224 2.1.1.273
superpathway of coenzyme A biosynthesis II (plants)	4.2.1.116 2.7.1.24 2.7.7.3 4.1.1.36 6.3.2.51 2.7.1.33 6.3.2.1 2.6.1.18 1.1.1.59 3.1.2.4 1.3.8.1 1.1.1.169 2.1.2.11 6.2.1.17
glycerol degradation I	2.7.1.30 1.1.5.3
L-proline biosynthesis IV	1.5.1.49 1.5.1.1 2.6.1.8
aerobic respiration III (alternative oxidase pathway)	1.10.3.11 1.3.5.1 7.1.1.2
L-glutamate degradation IV	4.1.1.15 1.2.1.24 2.6.1.96 1.1.1.co 2.6.1.19
L-glutamate biosynthesis V	1.4.7.1
<i>S</i>-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation I	5.3.1.23 3.5.1.111 2.6.1.ag 1.13.11.54 3.1.3.87 5.3.2.5 4.2.1.109
fatty acid biosynthesis initiation I	2.1.3.15 2.3.1.180 2.3.1.86 2.3.1.85 2.3.1.39
putrescine biosynthesis II	3.5.1.53 4.1.1.19 3.5.3.12
curcumin glucoside biosynthesis	2.4.1.- 2.4.1.- 2.4.1.- 2.4.1.- 2.4.1.- 2.4.1.- 2.4.1.- 2.4.1.-
DIMBOA-glucoside activation	3.2.1.182
wighteone and luteone biosynthesis	1.14.14.90 2.5.1.- 2.5.1.- 2.5.1.- 2.5.1.- 2.5.1.-
arsenite oxidation I (respiratory)	1.20.2.1 1.9.3.1
arsenate reduction (respiratory)	1.20.99.1
arsenate detoxification II (glutaredoxin)	7.3.2.h 1.20.4.1
1D-<i>myo</i>-inositol hexakisphosphate biosynthesis III (<i>Spirodela polyrrhiza</i>)	2.7.1.158 2.7.1.64 2.7.1.134 5.5.1.4
kievitone biosynthesis	1.3.1.51 2.5.1.-
putrescine biosynthesis III	4.1.1.17
phytate degradation I	3.1.3.- 3.1.3.25 3.1.3.25 3.1.3.62 3.1.3.62 3.1.3.26 3.1.3.8
creatinine degradation II	3.5.1.59 1.5.3.1 1.5.8.3 3.5.4.21 3.5.2.14
creatinine degradation III	3.5.3.16
superpathway of choline biosynthesis	4.1.1.- 2.1.1.- 2.1.1.- 2.1.1.- 3.1.4.4 2.7.8.2 2.7.7.15 3.1.3.75 2.1.1.103 2.1.1.103 2.1.1.103 2.7.1.82
phytate degradation II	3.1.3.62 3.1.3.62 3.1.3.62 3.1.3.62 3.1.3.62 3.1.3.62 3.1.3.62 3.1.3.62
aloesone biosynthesis I	2.3.1.-
ethylbenzene degradation (anaerobic)	1.1.1.311 6.4.1.8 1.17.99.2
UDP-&alpha;-D-xylose biosynthesis	1.1.1.22 4.1.1.35
UDP-&alpha;-D-glucuronate biosynthesis (from <i>myo</i>-inositol)	2.7.7.44 2.7.1.43 1.13.99.1
UDP-&alpha;-D-galacturonate biosynthesis I (from UDP-D-glucuronate)	5.1.3.6
nitrate reduction VI (assimilatory)	6.3.1.2 1.4.1.4 1.7.7.2 1.7.7.1
L-asparagine biosynthesis III (tRNA-dependent)	3.5.1.38 3.5.1.2 6.1.1.23
protein citrullination	3.5.3.15
6-methoxymellein biosynthesis	2.3.1.- 2.1.1.108 2.3.1.-
sterculate biosynthesis	1.14.19.- 2.1.1.79
&beta;-pyrazole-1-ylalanine biosynthesis	2.5.1.51
L-proline biosynthesis II (from arginine)	2.1.3.3 1.5.1.2 2.6.1.13 3.5.1.20 3.5.3.6
nitric oxide biosynthesis II (mammals)	6.3.4.5 1.14.13.39 4.3.2.1
urea cycle	3.5.3.1 6.3.4.16 2.1.3.3 4.3.2.1 6.3.4.5
mimosine biosynthesis	2.5.1.52
L-ascorbate biosynthesis II (L-gulose pathway)	1.3.2.- 1.1.1.- 3.1.3.- 2.7.7.-
VTC2 cycle	5.1.3.18 2.7.7.69
extended VTC2 cycle	5.1.3.18 5.1.3.- 2.7.7.69
abscisic acid biosynthesis shunt	5.2.1.- 1.1.1.-
phosphatidylcholine biosynthesis II	2.7.8.2 2.1.1.103 2.1.1.103 2.1.1.103 2.7.7.15
phosphatidylcholine biosynthesis III	2.7.7.57 2.1.1.71 2.1.1.71 2.7.8.- 2.1.1.103
phosphatidylcholine biosynthesis IV	2.1.1.71 2.1.1.103 2.1.1.103 2.7.8.- 2.7.7.-
superpathway of phosphatidylcholine biosynthesis	2.1.1.103 2.1.1.71 2.1.1.71 2.7.8.- 2.7.7.57 2.7.8.- 2.7.7.- 2.7.8.2 2.7.7.15 2.1.1.103 2.1.1.103 2.7.1.32
phosphatidylethanolamine biosynthesis II	2.7.8.1 4.1.1.- 2.7.1.82 2.7.7.14
phosphatidylglycerol biosynthesis I (plastidic)	2.7.7.41 3.1.3.27 2.7.8.5 1.1.1.94 2.3.1.51 2.3.1.15
phosphatidylglycerol biosynthesis II (non-plastidic)	1.1.1.94 3.1.3.27 2.7.8.5 2.7.7.41 2.3.1.51 2.3.1.15
superpathway of fermentation (<i>Chlamydomonas reinhardtii</i>)	2.3.1.8 2.7.2.15 2.7.2.1 1.1.1.28 1.1.1.1 1.2.1.10 1.2.7.1 1.12.7.2 4.1.1.1 2.3.1.54
UDP-&alpha;-D-galacturonate biosynthesis II (from D-galacturonate)	2.7.1.44
tetrahydroxyxanthone biosynthesis (from benzoate)	6.2.1.25 2.3.1.220
tetrahydroxyxanthone biosynthesis (from 3-hydroxybenzoate)	6.2.1.37 2.3.1.151
superpathway of L-citrulline metabolism	3.5.3.1 1.14.13.39 4.3.2.1 6.3.4.5 2.1.3.3 2.6.1.13 2.7.2.11 1.2.1.41 1.5.5.2 6.3.4.16 3.5.1.38 3.5.1.2
biotin biosynthesis II	2.3.1.47 2.8.1.6 6.3.3.3 2.6.1.105 6.2.1.14
willardiine and isowillardiine biosynthesis	2.5.1.53 2.5.1.53
4-aminobutanoate degradation V	4.2.1.120 2.8.3.1 2.8.3.8 1.3.8.1 2.8.3.- 1.1.1.61 1.4.1.2 2.6.1.19
L-arginine degradation XI	2.6.1.-
indole-3-acetate biosynthesis IV (bacteria)	3.5.1.4 4.2.1.84
indole-3-acetate biosynthesis V (bacteria and fungi)	3.5.5.1
phylloquinol biosynthesis	2.5.1.130 2.1.1.329 1.6.5.12
L-histidine degradation II	4.2.1.49 3.5.1.68 3.5.3.13 3.5.2.7 4.3.1.3
imidazole-lactate degradation	1.1.1.111 2.6.1.38
L-histidine degradation III	4.3.1.4 3.5.4.9 4.3.1.3 4.2.1.49 3.5.2.7 2.1.2.5
L-histidine degradation V	2.6.1.58
<i>ent</i>-kaurene biosynthesis I	4.2.3.19 5.5.1.13
nicotinate degradation II	1.17.99.- 5.2.1.1 3.5.1.107 1.17.3.3
GA<sub>12</sub> biosynthesis	
gibberellin biosynthesis III (early C-13 hydroxylation)	1.14.11.15 1.14.11.- 1.14.11.- 1.14.20.- 1.14.11.- 1.14.14.- 1.14.11.12
gibberellin biosynthesis II (early C-3 hydroxylation)	1.14.11.- 1.14.11.- 1.14.20.- 1.14.11.- 1.14.11.-
caffeine biosynthesis I	2.1.1.158 2.1.1.160 2.1.1.159 3.2.2.25
caffeine biosynthesis II (via paraxanthine)	2.1.1.158 2.1.1.160 3.2.2.25
theobromine biosynthesis I	2.1.1.159 2.1.1.158 3.2.2.25
theobromine biosynthesis II (via xanthine)	
<i>S</i>-adenosyl-L-methionine cycle II	2.5.1.6 2.1.1.14 3.3.1.1 2.1.1.-
purine nucleotides degradation I (plants)	1.17.1.4 1.17.1.4 3.1.3.5 3.5.4.3 3.2.2.1 3.2.2.1 3.5.4.15 3.2.2.2 3.1.3.99 3.1.3.5 3.1.3.5 1.1.1.205 3.5.4.17 3.5.4.6
pinosylvin metabolism	2.3.1.146
2-oxoisovalerate decarboxylation to isobutanoyl-CoA	1.8.1.4 2.3.1.168 1.2.4.4
gibberellin biosynthesis IV (<i>Gibberella fujikuroi</i>)	1.14.19.- 1.14.14.- 1.14.11.- 1.14.14.- 1.14.14.- 1.14.19.- 1.14.14.- 1.14.14.- 1.14.14.-
rosmarinic acid biosynthesis I	6.2.1.12 1.14.14.- 1.14.14.- 1.14.14.- 1.14.14.- 2.3.1.- 1.14.14.91 4.3.1.25 4.3.1.24 2.6.1.27 2.6.1.5 2.6.1.57 1.1.1.237
rosmarinic acid biosynthesis II	1.14.16.2 2.6.1.49 1.1.1.237 2.3.1.140
superpathway of gibberellin biosynthesis	1.14.11.- 1.14.11.- 1.14.20.- 1.14.11.- 1.14.11.- 1.14.11.- 1.14.11.- 1.14.11.- 1.14.11.- 1.14.11.- 1.14.20.- 1.14.11.- 1.14.11.- 1.14.20.- 1.14.11.- 1.14.11.- 1.14.11.- 1.14.11.- 1.14.11.15 1.14.11.- 1.14.11.12 1.14.14.- 5.5.1.13 4.2.3.19
superpathway of gibberellin GA<sub>12</sub> biosynthesis	4.2.3.19 5.5.1.13
D-sorbitol biosynthesis I	5.3.1.9 3.1.3.50 1.1.1.200
nicotinate degradation III	1.17.1.5 4.1.3.32 4.2.1.85 5.3.3.6 5.4.99.4 1.1.1.291 3.5.2.18 1.3.7.1
L-valine degradation II	1.1.1.1 2.6.1.42 4.1.1.72
pinobanksin biosynthesis	2.3.1.- 5.5.1.6 2.1.1.- 1.14.11.9
luteolin biosynthesis	1.14.14.82 1.14.19.bi 1.14.14.82 1.14.20.5 1.14.19.bi 1.14.20.5
6,7,4'-trihydroxyisoflavone biosynthesis	4.2.1.- 1.14.14.- 1.14.14.-
superpathway of nicotinate degradation	1.17.3.3 5.2.1.1 3.5.1.107 1.17.99.- 1.13.11.9 3.5.1.106 1.14.13.114 1.17.2.1 4.1.3.32 4.2.1.85 5.3.3.6 5.4.99.4 1.1.1.291 3.5.2.18 1.3.7.1 1.17.1.5
phytyl diphosphate biosynthesis	
chlorophyll <i>a</i> biosynthesis II	2.5.1.62 1.3.1.75
glycogen biosynthesis II (from UDP-D-Glucose)	2.4.1.18 2.4.1.186 2.4.1.186 2.4.1.11
chlorophyll cycle	2.5.1.62 1.17.7.2 1.1.1.294 2.5.1.62
gibberellin biosynthesis I (non C-3, non C-13 hydroxylation)	1.14.11.- 1.14.11.- 1.14.11.- 1.14.11.- 1.14.11.- 1.14.11.- 1.14.20.-
superpathway of rosmarinic acid biosynthesis	2.6.1.27 2.6.1.5 2.6.1.57 1.14.14.- 1.14.14.- 1.14.14.- 1.14.14.- 2.3.1.- 1.1.1.237 6.2.1.12 1.14.14.91 4.3.1.25 4.3.1.24 1.14.16.2 2.3.1.140 1.1.1.237 2.6.1.49
mevalonate degradation	4.1.3.4 1.1.1.88
L-leucine degradation II	5.4.3.7
L-leucine degradation III	4.1.1.72 1.1.1.1 2.6.1.6 2.6.1.42
L-isoleucine degradation II	4.1.1.72 1.1.1.1 2.6.1.42
L-phenylalanine degradation III	2.6.1.1 2.6.1.57 2.6.1.27 1.1.1.1 4.1.1.43 2.6.1.58
very long chain fatty acid biosynthesis I	2.3.1.199 1.3.1.93 4.2.1.134 1.1.1.330
L-tryptophan degradation VIII (to tryptophol)	2.6.1.27 1.1.1.190 4.1.1.74 2.6.1.28
L-methionine degradation III	2.6.1.28 1.1.1.1 4.1.1.1
NAD/NADH phosphorylation and dephosphorylation	7.1.1.2 2.7.1.86 3.1.3.- 3.1.3.2 3.1.3.1 1.6.1.2 1.6.1.3 1.6.1.1 2.7.1.23
2-oxoglutarate decarboxylation to succinyl-CoA	2.3.1.61 1.2.4.2 1.8.1.4
chlorophyll <i>a</i> biosynthesis I	1.3.1.75 2.5.1.62
L-glutamate degradation VI (to pyruvate)	4.1.3.22 4.2.1.34 4.3.1.2 5.4.99.1
L-glutamate degradation VIII (to propanoate)	2.8.3.- 1.3.5.4 4.2.1.2 1.1.1.37 2.1.3.1 5.1.99.1 5.4.99.2 4.1.3.22 4.2.1.34 4.3.1.2 5.4.99.1
naringenin glycoside biosynthesis	2.4.1.185 2.4.1.- 2.4.1.236
pyruvate fermentation to acetate and alanine	1.2.7.1 6.2.1.13 2.6.1.2
L-lysine biosynthesis VI	4.3.3.7 4.1.1.20 5.1.1.7 2.6.1.83 1.17.1.8 2.7.2.4 1.2.1.11
chlorophyll <i>a</i> degradation I	1.3.7.12 4.99.1.10 3.1.1.82 3.1.1.14
pyruvate fermentation to acetate and lactate II	2.3.1.8 2.7.2.15 2.7.2.1 1.2.7.1 1.1.1.27
L-isoleucine biosynthesis II	1.1.1.383 2.6.1.42 4.2.1.9 2.3.1.182 2.2.1.6 1.1.1.- 4.2.1.35
L-isoleucine biosynthesis III	2.6.1.42 5.4.99.1 4.2.1.9 1.1.1.86 2.2.1.6 2.6.1.-
L-isoleucine biosynthesis IV	2.6.1.42 6.2.1.17 1.2.7.7 4.2.1.9 1.1.1.383 2.2.1.6
hesperitin glycoside biosynthesis	2.4.1.- 2.1.1.- 2.4.1.185 2.4.1.236
phytol salvage pathway	2.7.4.- 2.7.1.182
L-isoleucine biosynthesis V	2.6.1.42 1.2.7.7 6.2.1.1
fermentation to 2-methylbutanoate	2.3.1.16 3.1.2.- 1.3.8.5 4.2.1.17 1.1.1.178 2.8.3.1
trigonelline biosynthesis	2.1.1.7
UDP-D-apiose biosynthesis (from UDP-D-glucuronate)	4.1.1.-
UDP-sugars interconversion	4.2.1.76 4.1.1.- 5.1.3.6 5.1.3.5 4.1.1.35 1.1.1.22 1.1.1.- 5.1.3.- 5.1.3.2
GDP-L-galactose biosynthesis	5.1.3.18
sakuranetin biosynthesis	2.1.1.232
ponciretin biosynthesis	2.1.1.231
acacetin biosynthesis	2.1.1.75
geranylgeranyl diphosphate biosynthesis	2.5.1.29
superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)	4.6.1.12 2.5.1.29 2.5.1.10 2.5.1.1 5.3.3.2 1.17.7.4 1.17.7.4 1.17.7.3 2.7.1.148 2.7.7.60 2.2.1.7 1.1.1.267
geranyl diphosphate biosynthesis	2.5.1.1
<i>trans, trans</i>-farnesyl diphosphate biosynthesis	5.3.3.2 2.5.1.10 2.5.1.1
anthocyanin biosynthesis	2.4.1.115 1.14.20.4
sphingolipid biosynthesis (plants)	1.14.18.5 2.4.1.80 1.14.19.17 2.7.1.- 1.14.18.7 1.14.19.29 2.7.1.138 2.4.1.- 2.7.1.91 1.14.18.5 2.3.1.- 1.1.1.102 2.3.1.50
2-oxobutanoate degradation I	5.1.99.1 5.4.99.2 6.4.1.3 1.2.1.M8
lupulone and humulone biosynthesis	2.5.1.136 2.5.1.137 1.14.99.M4 2.5.1.137 6.2.1.1 2.3.1.156
colupulone and cohumulone biosynthesis	2.5.1.137 1.14.99.M4 2.5.1.137 2.5.1.136 2.3.1.156 6.2.1.1
superpathway of bitter acids biosynthesis	1.14.99.M4 2.3.1.156 1.14.99.M4 2.5.1.136 2.5.1.137 6.2.1.1 2.5.1.137 2.3.1.156 2.5.1.136 2.5.1.137 1.14.99.M4 2.5.1.137 6.2.1.1 2.5.1.137 2.5.1.137 2.5.1.136 2.3.1.156 6.2.1.1
xanthohumol biosynthesis	2.5.1.136 6.2.1.12 2.3.1.74 2.1.1.338
fatty acid &beta;-oxidation II (peroxisome)	1.1.1.35 2.3.1.16 1.3.3.6 4.2.1.17 6.2.1.-
fatty acid &beta;-oxidation III (unsaturated, odd number)	5.3.3.8
unsaturated, even numbered fatty acid &beta;-oxidation	4.2.1.17 1.3.1.34 5.3.3.8 4.2.1.119 5.1.2.3
pelargonidin conjugates biosynthesis	2.3.1.171 2.4.1.116 2.3.1.- 2.3.1.- 2.4.1.- 2.4.1.-
cannabinoid biosynthesis	1.21.99.- 4.4.1.26 1.21.3.8 1.21.3.7 2.5.1.102 6.2.1.2
acyl-[acyl-carrier protein] thioesterase pathway	3.1.2.14
long-chain fatty acid activation	6.2.1.3
oleate biosynthesis I (plants)	6.2.1.3 3.1.2.14 1.14.19.2
acyl-CoA hydrolysis	3.1.2.2
L-tyrosine degradation II	1.2.3.13 2.6.1.27 2.6.1.5 2.6.1.57
leucodelphinidin biosynthesis	1.1.1.219 1.14.11.9 1.14.14.82
anthocyanin biosynthesis (delphinidin 3-O-glucoside)	1.14.20.- 2.4.1.115
L-arginine biosynthesis III (via <i>N</i>-acetyl-L-citrulline)	2.6.1.11 4.3.2.1 6.3.4.5 3.5.1.16 2.1.3.9 6.3.5.5 2.3.1.1 2.7.2.8 1.2.1.38
&beta;-alanine biosynthesis III	4.1.1.11
